product_id,product_name,category,price,cost,stock_quantity,reorder_level
45,Grow Beauty 45,Beauty,416.97,157.56,1998,91
46,Fall Grocery 46,Grocery,403.36,220.45,2722,9
47,Clearly Beauty 47,Beauty,196.8,101.53,2000,142
48,Dinner Books 48,Books,147.72,50.82,4813,124
49,Source Home 49,Home,342.84,245.28,2220,39
50,Great Books 50,Books,74.18,39.95,4237,172
51,Blue Home 51,Home,103.95,58.02,1611,172
52,Best Beauty 52,Beauty,8.64,3.31,3523,101
53,Husband Sports 53,Sports,394.53,157.62,3161,164
54,Bill Home 54,Home,334.1,266.91,4046,52
55,Her Sports 55,Sports,354.06,114.91,4564,192
56,Throw Books 56,Books,391.46,167.57,1580,170
57,Guy Books 57,Books,232.16,106.94,4892,9
58,Pm Grocery 58,Grocery,286.53,163.21,4984,154
59,Everything Clothing 59,Clothing,74.2,46.19,3813,25
60,Surface Sports 60,Sports,61.69,35.24,3131,94
61,Animal Grocery 61,Grocery,335.86,116.3,1201,123
62,Show Grocery 62,Grocery,238.19,103.38,3169,61
63,Machine Home 63,Home,284.79,217.57,1289,95
64,Not Beauty 64,Beauty,383.67,249.64,1813,85
65,Capital Home 65,Home,319.19,209.72,1094,133
66,Win Toys 66,Toys,279.02,186.56,1453,173
67,Human Beauty 67,Beauty,281.81,202.79,838,76
68,Bar Electronics 68,Electronics,155.46,51.61,195,70
69,Old Sports 69,Sports,20.25,10.16,3988,31
70,Finally Toys 70,Toys,221.18,131.99,1172,32
71,Themselves Grocery 71,Grocery,111.22,54.07,3872,123
72,Production Electronics 72,Electronics,207.22,158.41,576,81
73,Present Sports 73,Sports,427.43,241.68,4994,61
74,Value Clothing 74,Clothing,120.8,87.31,4730,35
75,Training Electronics 75,Electronics,33.86,26.03,2114,83
76,High Beauty 76,Beauty,144.29,83.35,4389,187
77,Participant Home 77,Home,150.33,120.3,4905,129
78,Dark Electronics 78,Electronics,332.65,207.21,4693,32
79,Sea Beauty 79,Beauty,280.73,215.5,3954,53
80,Available Home 80,Home,393.03,191.53,2381,178
81,Answer Clothing 81,Clothing,333.84,191.74,3317,93
82,Recently Electronics 82,Electronics,206.16,122.1,3555,168
83,Drive Beauty 83,Beauty,407.94,145.94,881,35
84,Spring Sports 84,Sports,87.65,45.51,2532,113
85,Figure Clothing 85,Clothing,16.24,13.07,2504,62
86,Base Grocery 86,Grocery,49.57,32.07,3983,132
87,Top Electronics 87,Electronics,362.57,144.17,4961,9
88,Early Books 88,Books,233.63,113.63,158,106
89,Trial Electronics 89,Electronics,84.83,34.39,476,138
90,Blood Grocery 90,Grocery,253.02,79.36,591,196
91,Husband Home 91,Home,80.39,65.12,1591,63
92,Fall Sports 92,Sports,349.68,191.11,889,88
93,Long Clothing 93,Clothing,225.85,105.96,257,77
94,Prove Grocery 94,Grocery,193.61,121.81,3816,74
95,They Home 95,Home,154.25,46.9,3938,138
96,His Toys 96,Toys,316.99,143.57,4531,165
97,Commercial Books 97,Books,184.1,126.42,2083,82
98,Hospital Home 98,Home,48.39,31.38,1176,151
99,Hear Grocery 99,Grocery,63.41,53.26,4007,37
100,Determine Sports 100,Sports,481.14,308.51,1110,180
101,Religious Home 101,Home,454.75,255.86,719,116
102,Example Books 102,Books,351.36,252.55,4579,23
103,Science Home 103,Home,136.61,108.85,767,65
104,Write Beauty 104,Beauty,484.74,337.56,1403,18
105,Result Beauty 105,Beauty,390.48,324.01,264,49
106,Raise Electronics 106,Electronics,359.86,262.73,434,90
107,Away Toys 107,Toys,227.43,176.65,3873,24
108,Politics Electronics 108,Electronics,139.76,50.7,1690,132
109,Prove Grocery 109,Grocery,52.71,37.05,4116,72
110,Congress Clothing 110,Clothing,451.79,244.89,131,33
111,None Electronics 111,Electronics,230.61,139.34,4304,57
112,Shoulder Toys 112,Toys,105.17,69.39,2766,110
113,Election Sports 113,Sports,156.45,130.39,4096,13
114,Common Electronics 114,Electronics,291.71,245.48,2117,82
115,Maintain Beauty 115,Beauty,92.5,42.41,3689,120
116,Hundred Home 116,Home,429.02,301.84,1636,152
117,Expect Clothing 117,Clothing,380.47,271.08,2521,110
118,Wish Toys 118,Toys,361.13,177.16,3572,96
119,Push Home 119,Home,218.89,80.58,1839,85
120,Rise Clothing 120,Clothing,315.52,101.76,3127,45
121,Onto Grocery 121,Grocery,294.13,213.99,3758,193
122,Discuss Electronics 122,Electronics,326.67,185.98,3799,21
123,Reveal Home 123,Home,46.8,39.41,881,36
124,Garden Clothing 124,Clothing,210.82,117.16,219,166
125,Threat Electronics 125,Electronics,25.6,21.45,1992,142
126,Special Books 126,Books,249.53,131.34,4269,31
127,Stand Books 127,Books,168.28,123.94,3268,40
128,Arrive Sports 128,Sports,76.54,26.53,4590,82
129,Drop Clothing 129,Clothing,56.18,34.02,4376,191
130,Term Books 130,Books,295.88,219.29,4779,176
131,Almost Sports 131,Sports,89.44,72.32,961,125
132,Support Clothing 132,Clothing,462.93,348.32,2366,133
133,Four Books 133,Books,292.63,93.74,1445,54
134,Institution Grocery 134,Grocery,176.7,89.23,32,116
135,Executive Grocery 135,Grocery,297.5,97.22,2755,80
136,Attorney Toys 136,Toys,16.29,5.87,1855,144
137,Development Sports 137,Sports,479.49,321.94,132,108
138,White Electronics 138,Electronics,243.74,168.74,4655,122
139,Yes Home 139,Home,392.45,284.74,2431,126
140,Our Home 140,Home,45.95,35.66,1442,87
141,Under Home 141,Home,245.9,173.77,3790,25
142,Serious Toys 142,Toys,247.9,183.56,1742,114
143,Forward Clothing 143,Clothing,469.22,153.4,1927,152
144,Difference Home 144,Home,288.01,123.55,661,107
145,Reality Clothing 145,Clothing,239.38,153.69,1574,93
146,Money Beauty 146,Beauty,137.15,105.88,3197,137
147,Individual Toys 147,Toys,169.13,51.16,330,76
148,Usually Electronics 148,Electronics,262.73,153.18,47,46
149,Who Beauty 149,Beauty,222.26,149.47,4473,156
150,Question Grocery 150,Grocery,15.7,4.97,3891,38
151,Low Toys 151,Toys,414.01,215.59,4452,23
152,Character Sports 152,Sports,448.6,355.56,4151,98
153,Evidence Toys 153,Toys,74.42,49.82,4678,98
154,Chair Electronics 154,Electronics,279.25,120.28,1700,47
155,Employee Sports 155,Sports,58.74,45.17,2929,95
156,Size Clothing 156,Clothing,337.76,165.98,1506,138
157,Option Electronics 157,Electronics,144.21,110.95,1070,179
158,Nothing Electronics 158,Electronics,331.41,153.91,2074,45
159,Everyone Electronics 159,Electronics,364.86,227.92,2114,107
160,Skin Clothing 160,Clothing,385.48,199.8,389,31
161,Pattern Grocery 161,Grocery,58.33,26.32,4302,40
162,Later Home 162,Home,458.43,361.06,1719,75
163,Water Clothing 163,Clothing,118.96,47.96,276,107
164,Past Home 164,Home,23.52,8.15,1711,56
165,Inside Books 165,Books,279.65,136.49,3053,87
166,High Clothing 166,Clothing,188.61,131.03,4006,179
167,Discuss Electronics 167,Electronics,415.75,309.35,4649,142
168,Certainly Electronics 168,Electronics,405.08,344.04,3766,26
169,Mr Electronics 169,Electronics,161.98,75.0,576,95
170,Minute Beauty 170,Beauty,476.69,249.96,2037,28
171,Benefit Clothing 171,Clothing,149.0,55.91,4262,193
172,Someone Toys 172,Toys,259.95,160.18,517,165
173,Anyone Grocery 173,Grocery,131.7,111.77,2630,33
174,Traditional Books 174,Books,468.34,321.04,2213,13
175,Break Clothing 175,Clothing,86.48,54.25,2006,17
176,Claim Home 176,Home,27.23,14.05,2342,190
177,Product Electronics 177,Electronics,220.37,177.05,2884,184
178,Collection Toys 178,Toys,496.23,284.49,4625,38
179,Structure Toys 179,Toys,446.38,166.9,4894,68
180,Response Sports 180,Sports,375.56,188.14,2654,101
181,Knowledge Home 181,Home,445.94,150.26,4855,192
182,Pick Sports 182,Sports,447.26,183.86,4027,82
183,Attack Toys 183,Toys,261.83,81.09,2924,97
184,Image Clothing 184,Clothing,161.38,88.65,3273,67
185,I Clothing 185,Clothing,387.15,251.26,966,197
186,Pick Electronics 186,Electronics,332.52,162.54,3993,174
187,Management Electronics 187,Electronics,189.96,100.91,2947,118
188,Newspaper Home 188,Home,51.76,42.83,3334,85
189,Enter Sports 189,Sports,374.66,267.35,2158,161
190,On Grocery 190,Grocery,134.92,80.61,1895,186
191,Traditional Toys 191,Toys,468.72,213.97,4664,148
192,Yes Sports 192,Sports,124.28,98.6,3865,69
193,Activity Home 193,Home,65.77,28.24,2255,194
194,Response Beauty 194,Beauty,416.4,199.43,1918,95
195,Set Home 195,Home,80.88,64.7,3294,73
196,Building Beauty 196,Beauty,93.74,55.42,1849,67
197,Rest Books 197,Books,301.69,213.68,1728,18
198,Value Sports 198,Sports,437.91,273.65,2661,23
199,Not Home 199,Home,102.24,67.42,830,103
200,Social Grocery 200,Grocery,158.61,73.7,4843,81
201,Example Toys 201,Toys,389.82,168.7,1072,157
202,Specific Beauty 202,Beauty,486.05,232.03,3791,153
203,Put Beauty 203,Beauty,252.87,97.48,1287,108
204,Grow Toys 204,Toys,76.23,59.53,4854,186
205,Brother Clothing 205,Clothing,11.9,5.42,2987,25
206,Finally Grocery 206,Grocery,118.68,72.25,4962,15
207,Learn Grocery 207,Grocery,70.25,51.67,4728,171
208,Coach Sports 208,Sports,340.44,248.9,519,186
209,Long Books 209,Books,65.31,35.34,2895,196
210,About Electronics 210,Electronics,255.63,143.65,3083,12
211,Seven Books 211,Books,348.66,295.34,3402,184
212,Type Beauty 212,Beauty,292.65,196.38,416,10
213,Serve Home 213,Home,103.89,77.72,3718,34
214,Everyone Toys 214,Toys,403.04,320.98,1197,102
215,Month Clothing 215,Clothing,359.13,263.3,2329,93
216,Sound Electronics 216,Electronics,370.8,149.01,2839,159
217,Could Books 217,Books,69.87,42.56,1653,177
218,Movement Books 218,Books,66.26,23.59,4942,78
219,While Toys 219,Toys,464.14,305.92,2825,16
220,Born Home 220,Home,201.8,166.57,3360,36
221,Truth Sports 221,Sports,153.97,89.61,3875,34
222,Process Sports 222,Sports,246.85,132.84,1074,110
223,Fire Clothing 223,Clothing,333.12,106.5,4828,20
224,Thought Books 224,Books,478.03,395.75,3960,172
225,Purpose Toys 225,Toys,146.79,52.35,938,187
226,Movement Beauty 226,Beauty,462.78,149.29,4811,177
227,Politics Beauty 227,Beauty,17.31,7.54,1872,27
228,Decide Electronics 228,Electronics,279.82,94.03,1948,163
229,Claim Beauty 229,Beauty,318.82,175.45,2409,52
230,Hour Beauty 230,Beauty,57.42,33.52,3191,197
231,Sound Grocery 231,Grocery,74.47,35.14,3036,183
232,Color Sports 232,Sports,212.46,69.69,4675,77
233,Notice Clothing 233,Clothing,483.28,174.65,2088,30
234,Start Electronics 234,Electronics,300.04,153.46,4406,160
235,Win Clothing 235,Clothing,466.85,155.6,4189,18
236,Nice Home 236,Home,403.16,275.76,3531,64
237,Why Grocery 237,Grocery,236.35,97.82,4372,17
238,A Electronics 238,Electronics,393.46,183.41,4700,107
239,Place Beauty 239,Beauty,13.83,7.15,2318,89
240,Game Grocery 240,Grocery,59.03,31.23,2899,37
241,Middle Grocery 241,Grocery,415.57,125.05,3342,27
242,After Sports 242,Sports,399.42,144.45,3953,126
243,Brother Clothing 243,Clothing,120.16,93.07,200,118
244,Woman Sports 244,Sports,267.73,80.5,4806,107
245,Him Books 245,Books,304.98,176.73,1071,92
246,Unit Clothing 246,Clothing,434.53,247.35,2871,41
247,Theory Sports 247,Sports,303.54,146.67,1721,41
248,Surface Electronics 248,Electronics,209.22,112.4,2560,190
249,Food Clothing 249,Clothing,190.22,138.73,2025,49
250,Education Toys 250,Toys,215.81,164.59,2074,195
251,Article Clothing 251,Clothing,327.71,145.24,403,119
252,Effect Grocery 252,Grocery,434.41,207.37,4954,175
253,Unit Books 253,Books,229.68,99.54,3171,75
254,Our Sports 254,Sports,127.68,72.0,668,89
255,Your Home 255,Home,122.15,82.55,179,45
256,Bar Beauty 256,Beauty,374.28,159.27,1847,199
257,Bed Sports 257,Sports,409.2,197.2,4794,134
258,Sign Electronics 258,Electronics,57.11,46.36,1017,143
259,Mention Beauty 259,Beauty,37.95,12.4,1509,107
260,Team Books 260,Books,299.24,165.61,1943,13
261,Authority Home 261,Home,77.36,53.48,4680,154
262,Soon Toys 262,Toys,413.21,158.16,4558,28
263,No Home 263,Home,158.62,51.72,299,5
264,Space Toys 264,Toys,76.22,28.66,4685,35
265,Car Grocery 265,Grocery,460.88,371.17,2675,18
266,Career Books 266,Books,86.94,26.52,4357,116
267,Receive Grocery 267,Grocery,145.94,58.9,1986,160
268,May Sports 268,Sports,81.04,25.71,4946,17
269,Your Clothing 269,Clothing,62.17,22.43,4844,61
270,Often Home 270,Home,15.47,9.92,3957,42
271,Company Beauty 271,Beauty,32.42,14.03,1430,43
272,Evidence Books 272,Books,91.45,56.06,999,23
273,News Grocery 273,Grocery,31.42,19.63,4337,29
274,Turn Grocery 274,Grocery,297.62,228.33,2704,167
275,Policy Clothing 275,Clothing,341.95,103.48,4880,126
276,Land Toys 276,Toys,199.85,153.76,1810,189
277,Development Grocery 277,Grocery,162.41,104.03,634,185
278,Woman Toys 278,Toys,254.74,99.22,1501,111
279,Notice Sports 279,Sports,438.13,317.69,2718,194
280,Someone Books 280,Books,426.31,328.48,1077,195
281,Show Sports 281,Sports,26.52,11.66,3524,154
282,Road Sports 282,Sports,94.84,76.38,2283,94
283,Deep Toys 283,Toys,122.19,67.2,1932,59
284,Sell Home 284,Home,128.45,81.17,974,81
285,Forget Electronics 285,Electronics,287.76,242.17,448,146
286,Inside Electronics 286,Electronics,211.05,105.28,2841,157
287,Remain Grocery 287,Grocery,29.38,21.95,2230,42
288,Rate Books 288,Books,189.94,90.24,4176,124
289,Hour Electronics 289,Electronics,264.26,195.44,175,66
290,Left Clothing 290,Clothing,55.33,34.88,4302,45
291,We Home 291,Home,417.56,174.96,4879,165
292,Nation Clothing 292,Clothing,30.72,16.21,1918,106
293,Live Grocery 293,Grocery,462.8,219.69,4681,175
294,Camera Books 294,Books,54.06,18.54,203,51
295,End Beauty 295,Beauty,422.57,133.71,245,74
296,Down Clothing 296,Clothing,451.81,221.64,4665,17
297,Attack Clothing 297,Clothing,489.89,152.1,975,34
298,Ground Beauty 298,Beauty,402.0,157.19,1822,183
299,Against Home 299,Home,390.84,273.14,2686,134
300,Per Grocery 300,Grocery,323.03,222.71,3982,44
301,Once Beauty 301,Beauty,390.6,275.85,4003,174
302,Drug Beauty 302,Beauty,71.6,33.97,3260,174
303,Per Beauty 303,Beauty,270.35,213.44,4745,30
304,Discussion Home 304,Home,259.54,162.63,561,22
305,Account Sports 305,Sports,429.5,158.62,1129,84
306,Avoid Sports 306,Sports,234.09,88.73,3105,190
307,Second Toys 307,Toys,195.62,133.26,1891,68
308,Program Toys 308,Toys,321.58,127.06,618,110
309,Artist Sports 309,Sports,136.9,79.27,914,125
310,Drop Home 310,Home,74.19,62.73,928,133
311,Author Clothing 311,Clothing,241.55,73.0,3364,36
312,Western Sports 312,Sports,211.36,65.34,4040,49
313,Almost Toys 313,Toys,120.12,101.65,3610,181
314,Trade Clothing 314,Clothing,186.92,116.18,3576,188
315,Give Toys 315,Toys,186.36,68.92,939,166
316,Avoid Electronics 316,Electronics,167.11,132.6,2944,102
317,My Beauty 317,Beauty,192.83,151.22,2598,11
318,Economy Beauty 318,Beauty,344.44,204.91,4684,90
319,Family Home 319,Home,151.95,97.55,4975,24
320,Relationship Sports 320,Sports,474.68,213.73,2563,98
321,Mention Books 321,Books,458.59,150.32,2109,195
322,Difficult Electronics 322,Electronics,243.05,152.4,3670,121
323,Notice Clothing 323,Clothing,167.54,77.42,1140,146
324,Cause Grocery 324,Grocery,270.04,179.57,3056,14
325,Several Beauty 325,Beauty,425.04,323.0,4907,8
326,Worry Sports 326,Sports,328.03,101.69,2472,180
327,Us Home 327,Home,403.17,253.05,2378,145
328,Own Electronics 328,Electronics,268.7,114.79,4006,166
329,Part Grocery 329,Grocery,318.29,248.47,3241,151
330,Material Toys 330,Toys,147.64,64.89,4517,88
331,Eight Sports 331,Sports,368.77,234.51,3190,42
332,Still Toys 332,Toys,105.19,63.58,3853,128
333,Material Home 333,Home,348.93,180.71,1738,90
334,Surface Grocery 334,Grocery,431.06,289.97,3890,136
335,Investment Books 335,Books,70.39,49.21,4803,143
336,Customer Home 336,Home,309.12,189.12,2995,88
337,Between Grocery 337,Grocery,52.07,37.34,4061,77
338,Bill Beauty 338,Beauty,364.23,306.27,228,149
339,Reason Sports 339,Sports,46.82,24.84,2299,109
340,Lawyer Clothing 340,Clothing,468.29,273.02,2990,151
341,Health Home 341,Home,73.02,22.41,655,80
342,Land Clothing 342,Clothing,479.65,353.89,1870,127
343,Item Electronics 343,Electronics,401.44,235.29,3737,49
344,Manage Books 344,Books,298.87,156.72,3662,58
345,Treat Beauty 345,Beauty,392.4,138.02,553,24
346,Shoulder Books 346,Books,398.58,314.6,4012,35
347,Arm Home 347,Home,473.28,244.81,988,82
348,Report Home 348,Home,130.42,88.09,1640,108
349,Ready Clothing 349,Clothing,297.09,113.53,4415,147
350,Race Toys 350,Toys,52.05,43.14,847,143
351,Billion Toys 351,Toys,310.0,123.42,876,152
352,Ask Home 352,Home,89.79,36.79,3938,98
353,Interesting Toys 353,Toys,284.65,219.88,737,81
354,Should Home 354,Home,288.35,231.23,1242,65
355,Group Sports 355,Sports,235.66,98.2,636,143
356,Such Beauty 356,Beauty,263.7,147.25,4147,143
357,Training Clothing 357,Clothing,383.14,269.51,349,87
358,Boy Sports 358,Sports,400.63,313.73,1201,158
359,Energy Beauty 359,Beauty,248.62,126.42,3740,26
360,Dark Toys 360,Toys,301.8,176.36,1030,92
361,Customer Sports 361,Sports,465.96,329.87,4103,59
362,Not Clothing 362,Clothing,64.27,45.13,1698,75
363,List Clothing 363,Clothing,62.97,46.01,881,50
364,Challenge Sports 364,Sports,48.42,29.7,1717,81
365,Knowledge Grocery 365,Grocery,330.64,118.22,1204,183
366,Cover Toys 366,Toys,212.21,169.17,873,66
367,Family Clothing 367,Clothing,388.29,301.34,1364,76
368,Maintain Clothing 368,Clothing,337.26,249.22,72,91
369,Enjoy Grocery 369,Grocery,170.15,60.39,1515,173
370,Two Home 370,Home,449.69,185.46,4504,51
371,Wind Beauty 371,Beauty,382.45,271.15,3816,16
372,Bag Books 372,Books,138.91,43.44,1825,102
373,Level Grocery 373,Grocery,185.28,155.37,3215,9
374,System Toys 374,Toys,160.65,81.52,3118,200
375,Training Sports 375,Sports,83.02,57.75,3068,91
376,Total Books 376,Books,78.15,61.6,4162,183
377,Oil Beauty 377,Beauty,468.38,242.17,3958,75
378,Billion Sports 378,Sports,221.76,105.45,3801,20
379,Apply Grocery 379,Grocery,194.74,123.62,79,118
380,Reach Sports 380,Sports,366.19,226.87,2343,101
381,Now Sports 381,Sports,278.73,146.34,2037,93
382,Think Beauty 382,Beauty,468.39,295.54,3818,113
383,Administration Grocery 383,Grocery,391.25,318.66,4183,198
384,Better Electronics 384,Electronics,242.29,135.0,3565,49
385,With Clothing 385,Clothing,191.3,78.09,3965,18
386,Some Toys 386,Toys,493.38,250.37,3853,199
387,Time Grocery 387,Grocery,360.29,186.18,4365,28
388,Economic Books 388,Books,475.84,177.06,801,66
389,Compare Clothing 389,Clothing,63.65,24.8,2008,151
390,Investment Home 390,Home,426.01,288.2,4111,123
391,Mention Grocery 391,Grocery,320.35,155.92,4694,89
392,Medical Home 392,Home,65.35,53.93,4973,114
393,Different Beauty 393,Beauty,296.19,128.54,1481,47
394,Treatment Clothing 394,Clothing,344.62,122.14,1118,43
395,Institution Grocery 395,Grocery,11.09,7.92,289,128
396,Weight Books 396,Books,229.89,180.36,3828,83
397,Artist Electronics 397,Electronics,413.57,187.33,4171,5
398,Community Grocery 398,Grocery,151.2,62.17,3355,42
399,Hundred Grocery 399,Grocery,231.98,93.3,877,49
400,Able Toys 400,Toys,223.95,131.48,4896,56
401,In Books 401,Books,154.45,86.13,4567,155
402,Evidence Clothing 402,Clothing,459.63,203.47,1497,137
403,With Books 403,Books,391.74,127.25,4073,87
404,Step Clothing 404,Clothing,59.74,33.74,4802,59
405,Still Home 405,Home,498.53,412.6,4823,115
406,Look Home 406,Home,440.2,290.04,26,89
407,Feeling Books 407,Books,145.53,83.32,2163,142
408,Land Home 408,Home,419.26,151.3,3878,157
409,Same Beauty 409,Beauty,57.68,25.31,3860,118
410,Side Sports 410,Sports,499.56,230.86,3690,168
411,Step Toys 411,Toys,334.51,241.06,1065,137
412,Only Electronics 412,Electronics,326.81,255.63,2860,116
413,Recently Home 413,Home,49.77,39.61,4971,178
414,Serious Electronics 414,Electronics,449.03,377.86,1044,45
415,Message Books 415,Books,19.35,16.26,2595,147
416,Clear Toys 416,Toys,124.21,102.37,3838,22
417,Customer Clothing 417,Clothing,75.8,25.73,1976,71
418,Fine Grocery 418,Grocery,389.5,146.37,781,77
419,Director Clothing 419,Clothing,103.11,48.2,944,38
420,Article Clothing 420,Clothing,455.77,275.33,2822,85
421,Particularly Sports 421,Sports,329.85,116.55,2397,150
422,Simply Toys 422,Toys,22.9,17.52,2632,130
423,Occur Grocery 423,Grocery,7.69,4.92,3452,31
424,Ask Books 424,Books,30.57,18.29,824,85
425,Small Grocery 425,Grocery,304.93,119.2,2017,52
426,Former Books 426,Books,401.73,176.48,357,53
427,Art Books 427,Books,123.08,47.78,3649,22
428,Apply Toys 428,Toys,425.46,326.99,4848,24
429,Pattern Sports 429,Sports,33.33,20.71,2341,30
430,Me Clothing 430,Clothing,401.48,282.77,868,41
431,Morning Sports 431,Sports,464.26,214.87,2319,51
432,Wide Home 432,Home,387.19,195.22,961,161
433,Tonight Clothing 433,Clothing,350.57,183.23,4538,110
434,Nice Toys 434,Toys,419.8,301.42,3182,57
435,Coach Beauty 435,Beauty,24.87,18.03,1370,28
436,Art Home 436,Home,104.88,43.39,1378,31
437,Movie Electronics 437,Electronics,66.84,54.66,4719,105
438,Be Sports 438,Sports,254.74,93.33,4650,49
439,Today Sports 439,Sports,373.87,296.43,4234,128
440,Cultural Sports 440,Sports,316.86,112.55,1279,11
441,Authority Electronics 441,Electronics,426.31,189.92,809,159
442,Physical Grocery 442,Grocery,81.83,62.65,2167,158
443,Author Clothing 443,Clothing,368.64,146.98,1054,81
444,Republican Books 444,Books,100.56,53.04,3071,171
445,Training Clothing 445,Clothing,139.03,76.11,4242,19
446,Easy Clothing 446,Clothing,356.4,155.0,2615,14
447,International Toys 447,Toys,490.2,338.55,4337,111
448,Call Home 448,Home,307.71,236.39,494,126
449,Year Beauty 449,Beauty,31.98,24.98,3800,123
450,Voice Clothing 450,Clothing,310.07,150.89,608,158
451,Over Clothing 451,Clothing,25.96,15.37,4693,25
452,Employee Grocery 452,Grocery,442.65,193.27,4877,91
453,Particular Electronics 453,Electronics,356.24,154.84,4384,41
454,Phone Beauty 454,Beauty,90.7,35.25,4923,150
455,Among Electronics 455,Electronics,50.4,41.18,4103,36
456,President Grocery 456,Grocery,95.85,75.57,3105,61
457,Beat Sports 457,Sports,490.11,356.58,589,198
458,Kind Clothing 458,Clothing,231.99,135.65,1543,103
459,Really Grocery 459,Grocery,393.12,224.01,2526,104
460,Past Beauty 460,Beauty,320.02,189.25,4289,82
461,Other Toys 461,Toys,288.34,171.59,3935,193
462,Necessary Books 462,Books,76.84,41.42,3991,53
463,Four Toys 463,Toys,473.28,176.28,3683,61
464,Worry Grocery 464,Grocery,154.16,56.9,1265,107
465,Every Toys 465,Toys,291.12,239.81,942,71
466,Democratic Toys 466,Toys,351.39,198.58,2269,193
467,Relationship Electronics 467,Electronics,326.37,269.01,3609,164
468,Sense Books 468,Books,470.59,183.51,783,197
469,Former Sports 469,Sports,78.48,47.47,1760,74
470,Edge Grocery 470,Grocery,256.63,106.31,3297,97
471,Evidence Electronics 471,Electronics,205.0,90.05,4934,48
472,Individual Electronics 472,Electronics,239.71,75.88,2987,85
473,Catch Beauty 473,Beauty,64.01,23.39,4378,24
474,Remain Home 474,Home,71.38,57.41,2583,159
475,Quite Beauty 475,Beauty,142.65,68.02,1914,124
476,First Books 476,Books,155.83,98.87,2400,178
477,Lot Toys 477,Toys,216.81,120.49,1506,53
478,Four Toys 478,Toys,307.44,159.95,1037,71
479,Woman Clothing 479,Clothing,319.14,189.1,3032,62
480,Society Grocery 480,Grocery,208.85,84.16,4675,167
481,Would Books 481,Books,207.35,174.95,122,94
482,Baby Clothing 482,Clothing,112.73,84.56,4590,144
483,Act Home 483,Home,296.21,209.68,2818,123
484,Low Sports 484,Sports,161.94,90.33,2372,15
485,Pretty Sports 485,Sports,22.85,8.78,1741,165
486,Order Toys 486,Toys,212.11,171.04,3752,11
487,Black Toys 487,Toys,239.7,116.92,1982,86
488,Back Books 488,Books,116.67,38.22,4337,14
489,Note Home 489,Home,288.37,140.82,3749,110
490,Different Home 490,Home,285.06,210.08,2624,174
491,Move Clothing 491,Clothing,352.49,226.47,3731,149
492,Evidence Books 492,Books,325.73,232.23,1490,47
493,Cause Beauty 493,Beauty,327.95,241.53,2656,85
494,Worker Toys 494,Toys,161.53,67.29,3996,53
495,Happy Toys 495,Toys,394.78,319.01,1153,84
496,Upon Electronics 496,Electronics,276.83,149.74,1702,192
497,Authority Sports 497,Sports,218.55,142.38,3550,26
498,Until Grocery 498,Grocery,314.88,94.86,1858,150
